code,description,payer_types,common_resolutions
N3,Alert: please submit medical records,Commercial|Medicare,Attach medical records and resubmit
N4,Alert: missing/incomplete LCD/NCD documentation,Medicare,Attach LCD/NCD documentation and resubmit
N5,Alert: review medical records for medical necessity,Commercial|Medicare,Submit medical records for review
N6,Alert: this is a re-admission,Commercial,Verify re-admission status
N7,Alert: review provider records,Commercial|Medicare,Internal review; submit corrected claim
N8,Alert: review prior authorization,Commercial|Medicare,Verify prior auth was obtained
N9,Alert: review claim for accuracy,Commercial|Medicare,Verify accuracy of claim data
N10,Alert: review medical records for procedure,Commercial|Medicare,Submit medical records
N11,Alert: review for medical necessity,Commercial|Medicare,Submit medical necessity documentation
N12,Alert: review for correct procedure,Commercial|Medicare,Verify correct CPT code
N13,Alert: review for covered service,Commercial|Medicare,Verify service is covered
N14,Alert: review for covered procedure,Commercial|Medicare,Verify procedure is covered
N15,Alert: review for covered diagnosis,Commercial|Medicare,Verify diagnosis is covered
N16,Alert: review for covered visit,Commercial|Medicare,Verify visit is covered
N17,Alert: review for covered test,Commercial|Medicare,Verify test is covered
N18,Alert: review for covered treatment,Commercial|Medicare,Verify treatment is covered
N19,Alert: review for covered service,Commercial|Medicare,Verify service is covered
N20,Alert: review for correct diagnosis,Commercial|Medicare,Verify correct ICD-10
N21,Alert: review for correct procedure,Commercial|Medicare,Verify correct CPT
N22,Alert: this service is not covered,Commercial|Medicare,Bill patient or write off
N23,Alert: potential duplicate service,Commercial|Medicare,Verify not duplicate
N24,Alert: review for medical necessity,Commercial|Medicare,Submit medical necessity documentation
N25,Alert: review for correct modifier,Commercial|Medicare,Verify correct modifier
N26,Alert: review for prior auth,Commercial|Medicare,Obtain prior auth
N27,Alert: review for correct date,Commercial|Medicare,Verify correct date
N28,Alert: review for correct provider,Commercial|Medicare,Verify correct provider
N29,Alert: review for correct facility,Commercial|Medicare,Verify correct facility
N30,Alert: review for correct units,Commercial|Medicare,Verify correct units
N31,Alert: review for correct charges,Commercial|Medicare,Verify correct charges
N32,Alert: review for correct place of service,Commercial|Medicare,Verify correct POS
N33,Alert: review for correct frequency,Commercial|Medicare,Verify frequency limits
N34,Alert: review for correct duration,Commercial|Medicare,Verify duration limits
N35,Alert: review for medical records,Commercial|Medicare,Submit medical records
N36,Alert: review for documentation,Commercial|Medicare,Submit documentation
N37,Alert: review for correct code,Commercial|Medicare,Verify correct code
N38,Alert: review for correct modifier,Commercial|Medicare,Verify correct modifier
N39,Alert: review for correct diagnosis,Commercial|Medicare,Verify correct diagnosis
N40,Alert: review for correct procedure,Commercial|Medicare,Verify correct procedure
N41,Alert: review for correct date,Commercial|Medicare,Verify correct date
N42,Alert: review for correct provider,Commercial|Medicare,Verify correct provider
N43,Alert: review for correct facility,Commercial|Medicare,Verify correct facility
N44,Alert: review for correct units,Commercial|Medicare,Verify correct units
N45,Alert: review for correct charges,Commercial|Medicare,Verify correct charges
N46,Alert: review for correct POS,Commercial|Medicare,Verify correct POS
N47,Alert: review for correct frequency,Commercial|Medicare,Verify correct frequency
N48,Alert: review for correct duration,Commercial|Medicare,Verify correct duration
N49,Alert: review for documentation,Commercial|Medicare,Submit documentation
N50,Alert: review for medical necessity,Commercial|Medicare,Submit medical necessity documentation
N51,Alert: review for correct billing,Commercial|Medicare,Verify correct billing
N52,Alert: review for correct coding,Commercial|Medicare,Verify correct coding
N53,Alert: review for correct modifier,Commercial|Medicare,Verify correct modifier
N54,Alert: review for correct diagnosis,Commercial|Medicare,Verify correct diagnosis
N55,Alert: review for correct procedure,Commercial|Medicare,Verify correct procedure
N56,Alert: review for correct date,Commercial|Medicare,Verify correct date
N57,Alert: review for correct provider,Commercial|Medicare,Verify correct provider
N58,Alert: review for correct facility,Commercial|Medicare,Verify correct facility
N59,Alert: review for correct units,Commercial|Medicare,Verify correct units
N60,Alert: review for correct charges,Commercial|Medicare,Verify correct charges
N61,Alert: review for correct POS,Commercial|Medicare,Verify correct POS
